,Centro_de_Alto_Rendimiento_CO_pmm
1139,0.34724
1140,0.2637
1141,0.39449
1142,0.77388
1143,0.8238
1144,0.71175
1145,0.71536
1146,0.62463
1147,0.76784
1148,0.86074
1149,0.84502
1150,0.55668
1151,0.68225
1152,0.759
1153,0.57462
1154,0.43666
1155,0.53473
1156,0.54573
1157,0.52904
1158,0.73357
1159,0.70911
1160,0.35238
1161,0.2758
1162,0.37392
1163,0.20471
1164,0.32997
1165,0.49431
1166,0.38459
1167,0.3199
1168,0.34486
1169,0.29349
1170,0.29962
1171,0.34732
1172,0.45422
1173,0.48108
1174,0.40616
1175,0.41817
1176,0.43394
1177,0.55416
1178,0.58484
1179,0.31873
1180,0.38554
1181,0.62018
1182,1.08223
1183,1.46289
1184,1.67517
1185,1.19309
1186,0.62447
1187,0.4489
1188,0.56826
1189,0.70414
1190,0.94137
1191,0.97631
1192,0.77992
1193,0.68332
1194,0.708
1195,0.54777
1196,0.51196
1197,0.41647
1198,0.552
1199,0.81806
1200,0.41866
1201,0.2566
1202,0.22975
1203,0.22536
1204,0.24551
1205,0.41017
1206,1.15296
1207,1.39588
1208,1.0559
1209,0.40718
1210,0.56547
1211,0.48737
1212,0.45902
1213,0.46278
1214,0.37786
1215,0.39069
1216,0.37291
1217,0.27824
1218,0.512
1219,0.64987
1220,1.0906
1221,0.60081
1222,0.4274
1223,0.49229
1224,0.47738
1225,0.43298
1226,0.36449
1227,0.31693
1228,0.31225
1229,0.67099
1230,1.62336
1231,1.33491
1232,0.97387
1233,0.71307
1234,0.8728
1235,0.46471
1236,0.81544
1237,0.453585
1238,0.995
1239,0.6795
1240,0.54457
1241,0.48308
1242,0.58961
1243,0.59195
1244,0.58586
1245,0.27635
1246,0.30039
1247,0.35357
1248,0.34029
1249,0.31763
1250,0.30892
1251,0.30883
1252,0.35427
1253,0.6556
1254,1.15157
1255,1.25295
1256,0.85573
1257,0.85255
1258,0.99616
1259,0.92107
1260,0.59722
1261,0.69118
1262,0.54052
1263,0.50376
1264,0.38847
1265,0.58173
1266,0.62559
1267,0.6558
1268,0.67536
1269,1.19389
1270,0.76926
1271,0.47626
1272,0.45004
1273,0.44496
1274,0.32069
1275,0.33255
1276,0.40257
1277,0.43099
1278,1.49791
1279,1.31085
1280,1.73396
1281,1.33976
1282,0.91548
1283,0.72242
1284,0.62285
1285,0.60347
1286,0.50376
1287,0.45972
1288,0.60887
1289,0.72766
1290,1.11685
1291,0.97613
1292,0.87605
1293,0.99386
1294,0.70821
1295,0.75629
1296,0.54001
1297,0.5109
1298,0.49144
1299,0.57724
1300,0.49795
1301,0.65391
1302,0.65183
1303,1.04048
1304,1.30757
1305,1.31748
1306,0.99124
1307,0.49627
1308,0.44468
1309,0.39702
1310,0.45511
1311,0.44716
1312,0.42283
1313,0.47207
1314,0.65444
1315,0.95902
1316,1.13986
1317,1.15807
1318,1.7208
1319,1.18439
1320,1.18498
1321,1.32119
1322,0.98501
1323,0.84664
1324,0.61765
1325,0.64178
1326,0.73767
1327,0.60733
1328,0.826
1329,1.32297
1330,0.97692
1331,0.72076
1332,0.4594
1333,0.40186
1334,0.32976
1335,0.38879
1336,0.38277
1337,0.37493
1338,0.51184
1339,0.8627
1340,1.01615
1341,1.12075
1342,1.00999
1343,1.08162
1344,1.28924
1345,1.24283
1346,1.05564
1347,0.81654
1348,0.70142
1349,0.97397
1350,1.47663
1351,1.9276
1352,1.30048
1353,0.88187
1354,0.56244
1355,0.75043
1356,0.57955
1357,0.56158
1358,0.52381
1359,0.47409
1360,0.5321
1361,0.63946
1362,0.92317
1363,1.26106
1364,0.88385
1365,1.08632
1366,1.13809
1367,0.83307
1368,0.78792
1369,0.74624
1370,0.77259
1371,0.79711
1372,0.78492
1373,1.08412
1374,1.9643
1375,2.5664
1376,2.23254
1377,1.37161
1378,0.86363
1379,0.75578
1380,0.67532
1381,0.85017
1382,0.99232
1383,0.99985
1384,1.00485
1385,0.7151
1386,0.91664
1387,0.85389
1388,0.80675
1389,0.68267
1390,0.63869
1391,0.63367
