carvajal21,centro21,kennedy21,ferias21,puentea21,tunal21,usaquen21
1.24932,0.6353,0.9676,0.651,1.4264,0.7284,0.4844
1.22448,0.4917,0.994,0.5384,1.0348,0.6879,0.8447
1.26897,0.5205,1.2351,0.4517,0.8688,0.4721,0.5812
1.01635,0.608,0.7994,0.44,0.7672,0.4197,0.6392
0.84218,0.6593,0.7004,0.4232,0.7534,0.4162,0.7825
0.64718,0.5562,0.7161,0.3369,0.8129,0.3954,1.0499
0.42433,0.3904,0.7153,0.2809,0.7206,0.3952,0.7972
0.6028,0.3157,0.7967,0.2702,0.6911,0.4231,0.7913
0.71676,0.3361,0.7811,0.3388,0.8739,0.4762,0.5444
,0.4559,1.4737,0.5144,1.4139,0.64,0.9292
,1.1886,1.5647,1.0663,2.1891,1.0015,1.1956
,1.6286,1.9798,1.0275,4.5092,1.3223,1.4942
,1.0275,1.6165,0.6987,6.3409,2.7491,1.3836
,0.5671,1.0214,0.4994,3.5435,1.5778,0.8664
,0.3819,0.6979,0.3136,1.9171,1.2968,0.4915
,0.2637,0.6502,0.2952,1.1616,0.9112,0.3837
,0.2587,0.6116,0.2398,1.0026,0.8045,0.2877
,0.5163,0.6517,0.4276,0.5016,0.8914,0.2827
1.04222,0.463,0.6107,0.4905,0.396,0.9004,0.4843
1.28961,0.4337,0.5764,0.4826,0.3202,0.9084,0.7
0.92735,0.4705,0.6084,0.5281,0.3919,0.952,0.6374
0.97628,0.501,0.674,0.6475,0.5144,1.1421,0.7016
1.85876,0.5827,0.8563,0.8326,0.7781,1.3545,1.2562
1.5493,0.9473,1.0038,0.7672,0.9072,1.6457,1.103
1.78152,1.0519,1.1356,0.8687,1.0674,1.3,0.9986
2.062,0.9339,0.9806,0.7321,0.9161,0.7565,0.7861
1.99664,0.4856,0.6683,0.6085,0.5416,0.472,0.8069
1.75986,0.6591,0.9289,0.6376,0.3805,0.4533,0.7745
1.03991,0.6119,0.6854,0.5299,0.3115,0.413,0.7395
1.06316,0.5313,0.5529,0.4402,0.3208,0.3955,0.8629
0.86773,0.4723,0.5895,0.4354,0.3009,0.3765,0.7926
1.0865,0.3979,0.6468,0.4479,0.289,0.4006,0.7693
1.09917,0.4637,0.9319,0.5491,0.3788,0.517,0.7348
1.92151,0.5674,1.6641,1.079,0.9266,0.7819,0.7804
2.5505,1.4688,2.088,1.5087,2.0609,1.0545,1.2867
2.09617,1.4869,2.0286,0.9518,4.1513,1.2,1.4713
1.75658,1.1773,1.6065,0.7549,3.538,1.9449,1.1737
1.23374,0.7809,1.065,0.6164,1.8745,1.6064,0.8646
1.035,0.6649,0.6604,0.5087,1.9791,1.3111,0.6067
1.04595,0.4121,0.5633,0.3734,1.1342,0.9919,0.3881
0.96923,0.3619,0.5989,0.3369,0.5459,0.9028,0.2541
1.00733,0.4178,0.5663,0.4217,0.3493,0.8747,0.2823
1.07415,0.3472,0.5848,0.4171,0.3492,0.9255,0.5081
0.97988,0.3615,0.5988,0.4809,0.352,0.9161,0.5887
0.9866,0.3776,0.5769,0.4861,0.3563,0.9352,0.547
1.44232,0.3948,0.6361,0.7236,0.4455,1.1866,0.5727
1.35379,0.537,0.7712,0.7426,0.7397,1.3168,0.6789
1.44841,0.7125,0.9027,0.7863,0.7603,1.5049,0.7776
1.72506,0.7373,0.9445,0.7197,0.7329,1.227,1.0038
1.48571,0.6081,0.9695,0.728,0.5566,0.9358,1.0974
1.4377,0.5686,1.1355,0.6844,0.5289,0.5369,1.148
1.11598,0.589,1.1088,0.5759,0.3397,0.4717,0.8764
0.61675,0.556,0.8753,0.6481,0.261,0.4691,0.7751
0.52297,0.5057,0.7497,0.542,0.2588,0.4394,0.8029
0.60698,0.4288,0.6495,0.5332,0.2225,0.4288,0.7724
0.76614,0.4335,0.681,0.5011,0.2194,0.4207,0.6794
1.29155,0.527,0.8069,0.5515,0.2339,0.4224,0.6106
2.19552,0.6014,1.2336,0.5246,0.5173,0.5445,0.6914
2.37039,0.9318,1.2931,0.9814,0.8913,0.6923,0.8057
2.20022,1.2431,1.4623,1.1886,0.9241,0.6694,0.6813
1.17173,1.0371,1.0966,0.6552,2.1929,1.1056,0.7676
1.07652,0.4881,0.5602,0.3501,1.7075,0.8569,0.6713
0.99737,0.3639,0.5045,0.3559,1.7252,0.7083,0.5006
1.05246,0.2538,0.3909,0.2909,1.1559,0.6572,0.3865
1.06866,0.2228,0.4599,0.2692,1.0087,0.5913,0.3049
1.11361,0.2429,0.4828,0.3379,0.2244,0.6476,0.3409
1.12335,0.2823,0.5276,0.3315,0.18,0.6253,0.3927
1.13289,0.2448,0.4892,0.3151,0.1545,0.6308,0.3987
1.38531,0.2485,0.4945,0.3149,0.181,0.6696,0.3848
1.85468,0.2723,0.5242,0.3669,0.2392,0.665,0.4036
1.93629,0.3067,0.5773,0.5135,0.2939,0.7507,0.4374
1.87379,0.3461,0.5756,0.4594,0.1981,0.7353,0.5039
1.74623,0.2944,0.5243,0.39,0.2644,0.7306,0.6532
1.74512,0.3499,0.4507,0.4485,0.2422,0.71,0.7582
1.09465,0.48,0.4417,0.5038,0.2048,0.5731,0.6618
0.96987,0.393,0.4399,0.458,0.1732,0.5435,0.6127
0.79368,0.3655,0.443,0.3914,0.215,0.467,0.6418
0.55101,0.352,0.4273,0.3903,0.1854,0.4211,0.6512
0.60329,0.3347,0.3906,0.3764,0.1503,0.4427,0.5498
0.68075,0.2997,0.4237,0.3712,0.115,0.4536,0.4339
0.83309,0.3114,0.4962,0.3235,0.8264,0.4825,0.4802
1.75196,0.3214,0.8484,0.4078,0.3912,0.5738,0.5385
2.31376,0.4714,0.8344,0.5586,3.7719,0.6499,0.774
2.10361,0.6223,1.0033,0.5661,0.9569,0.747,0.5958
1.28803,0.497,0.5743,0.4053,1.7234,0.6054,0.4869
1.20657,0.2909,0.6523,0.2646,0.5577,0.637,0.3958
,0.2376,0.5248,0.2308,0.38464,0.615,0.2837
0.97092,0.2033,0.4289,0.1825,,0.5456,0.1839
1.02296,0.1541,0.5007,0.1751,0.2486,0.6105,0.1709
0.91859,0.1719,0.5329,0.2154,0.463,0.6724,0.1997
0.92622,0.1766,0.5153,0.1899,0.3061,0.5473,0.2056
1.13019,0.1812,0.5159,0.1947,0.7099,0.6289,0.2332
0.85905,0.2763,0.5242,0.251,0.6257,0.4432,0.2445
1.25101,0.317,0.5483,0.3493,0.3223,0.6888,0.2479
0.83681,0.324,0.6191,0.4646,0.3331,0.8413,0.3021
1.19785,0.3295,0.6587,0.6204,0.389,0.6995,0.5477
1.11378,0.4144,0.7281,0.6772,0.4009,0.5605,0.7229
1.10198,0.3997,0.6349,0.563,0.3474,0.5838,0.7935
1.31517,0.4633,0.6213,0.608,0.3568,0.5204,0.6103
0.87416,0.5296,0.6074,0.5433,0.2332,0.4129,0.4908
0.6382,0.3706,0.6834,0.5316,0.2312,0.4044,0.4696
0.58376,0.3693,0.5553,0.4382,0.2156,0.3741,0.4983
