,Kennedy_CO_pmm
1484,0.89518
1485,1.31392
1486,1.32658
1487,0.80163
1488,0.60883
1489,0.7019
1490,0.58379
1491,0.63982
1492,0.6218
1493,1.14903
1494,1.80351
1495,2.42136
1496,1.76734
1497,1.15376
1498,0.76254
1499,0.62426
1500,0.63807
1501,0.5974
1502,0.56949
1503,0.67069
1504,0.65065
1505,0.71303
1506,1.08931
1507,1.70772
1508,1.54014
1509,1.14637
1510,0.89001
1511,0.65463
1512,0.52183
1513,0.49738
1514,0.52102
1515,0.60084
1516,0.57516
1517,1.43175
1518,1.58583
1519,1.84979
1520,1.12721
1521,0.75975
1522,0.57151
1523,0.49109
1524,0.54983
1525,0.48403
1526,0.4365
1527,0.44312
1528,0.46242
1529,0.56801
1530,0.66461
1531,0.79624
1532,0.895
1533,1.04817
1534,0.88186
1535,0.67862
1536,0.5357
1537,0.52719
1538,0.46594
1539,0.62569
1540,0.79025
1541,2.15745
1542,2.67074
1543,1.88956
1544,0.89283
1545,0.71216
1546,0.54087
1547,0.48733
1548,0.41938
1549,0.398
1550,0.41058
1551,0.42011
1552,0.45895
1553,0.52051
1554,0.62115
1555,0.81364
1556,1.3416
1557,1.14174
1558,1.03196
1559,0.89874
1560,0.68269
1561,0.70271
1562,0.70762
1563,0.68098
1564,0.93177
1565,1.87
1566,2.18048
1567,1.47931
1568,1.1795
1569,0.95216
1570,0.65872
1571,0.57447
1572,0.53845
1573,0.46615
1574,0.42919
1575,0.45579
1576,0.51073
1577,0.58775
1578,0.78603
1579,0.83463
1580,1.25154
1581,1.31588
1582,1.02566
1583,0.8365
1584,0.76445
1585,0.57783
1586,0.57172
1587,0.57533
1588,0.64173
1589,1.82143
1590,1.86595
1591,1.98576
1592,1.63618
1593,0.68099
1594,0.62887
1595,0.67105
1596,0.64812
1597,0.61513
1598,0.58979
1599,0.66008
1600,0.75692
1601,0.91239
1602,1.17191
1603,1.2173
1604,1.06608
1605,1.1263
1606,1.35348
1607,1.12966
1608,0.97198
1609,0.80161
1610,0.71494
1611,0.83318
1612,0.78346
1613,1.06644
1614,1.22143
1615,1.05492
1616,0.73351
1617,0.60782
1618,0.52779
1619,0.52777
1620,0.54747
1621,0.59757
1622,0.69547
1623,0.70604
1624,0.71951
1625,0.73618
1626,0.80422
1627,1.05991
1628,0.82132
1629,0.8361
1630,0.8237
1631,0.70955
1632,0.60622
1633,0.88274
1634,0.61674
1635,0.67322
1636,0.62608
1637,0.79907
1638,0.93109
1639,0.75547
1640,0.58686
1641,0.49573
1642,0.47158
1643,0.49132
1644,0.54549
1645,0.54536
1646,0.55335
1647,0.55696
1648,0.63102
1649,0.70856
1650,0.75091
1651,0.70273
1652,0.66949
1653,0.63226
1654,0.55828
1655,0.58278
1656,0.37103
1657,0.3049
1658,0.37721
1659,0.34431
1660,0.4333
1661,0.81094
1662,1.18191
1663,1.49587
1664,1.0887
1665,0.76415
1666,0.64753
1667,0.60168
1668,0.64307
1669,0.68578
1670,0.50451
1671,0.43139
1672,0.40051
1673,0.4421
1674,0.64282
1675,0.94024
1676,1.21694
1677,0.74818
1678,0.90564
1679,0.53143
1680,0.42872
1681,0.41104
1682,0.36389
1683,0.42345
1684,0.53991
1685,0.7806
1686,0.8432
1687,0.9783
1688,1.05025
1689,0.95462
1690,0.71417
1691,0.69076
1692,0.55436
1693,
1694,
1695,0.45162
1696,0.46995
1697,0.61674
1698,0.75453
1699,1.15071
1700,1.39502
