Carvajal19,Centro19,Kennedy19,Ferias19,PuenteA19,Tunal19,Usaquen19
0.44819,0.64435,0.33668,0.44555,0.44956,0.65336,0.4208
0.43004,0.69318,0.26729,0.35452,0.29293,0.51701,0.33221
0.40512,0.65924,0.25407,0.32295,0.17896,0.46148,0.31458
0.43752,0.67328,0.25554,0.27075,0.17016,0.51352,0.28817
0.44718,0.63492,0.25893,0.28723,0.20197,0.47403,0.25459
0.33411,0.651,0.29301,0.35965,0.25004,0.57885,0.28057
0.36975,0.80066,0.45849,0.68859,0.48719,0.75966,0.34961
0.52138,0.94458,0.60087,0.79709,0.63928,0.98978,0.61602
0.58949,1.15852,0.52873,0.97834,0.68171,1.19423,0.61205
0.46528,1.03973,0.4057,0.75259,0.49273,0.91025,0.59906
0.44625,0.79822,0.33782,0.6723,0.4488,0.92503,0.56277
0.43598,0.54484,0.28871,0.5344,0.32346,0.72847,0.55196
0.35496,0.48531,0.29544,0.48311,0.30264,0.74383,0.42338
0.46178,0.71156,0.31507,0.46344,0.33023,0.74966,0.39649
0.74861,0.81802,0.37073,0.51696,0.35476,0.77366,0.35386
0.85205,0.82893,0.40232,0.47696,0.35745,0.74424,0.34536
0.6806,0.9174,0.37313,0.46337,0.27519,0.68721,0.36698
0.82098,0.88719,0.4164,0.54172,0.32819,0.76495,0.39107
0.97866,0.92865,0.51893,0.79844,0.72561,0.96862,0.46685
0.57818,0.89025,0.58095,0.92389,0.53185,1.10273,0.54925
0.51336,0.93315,0.59423,0.75387,0.5083,1.3004,0.56783
0.47553,0.90757,0.53744,0.66388,0.42071,0.98034,0.48744
0.46842,0.87593,0.4484,0.63225,0.34006,0.85874,0.43816
0.39484,0.79515,0.37858,0.52439,0.28069,0.78467,0.36902
0.35992,0.72694,0.30674,0.4655,0.30717,0.65034,0.42223
0.45342,0.68611,0.2663,0.40554,0.30427,0.50276,0.3758
0.33738,0.6225,0.23071,0.32454,0.22687,0.48956,0.29344
0.31903,0.54752,0.23941,0.38184,0.20761,0.47205,0.30637
0.38289,0.62024,0.25668,0.37117,0.26494,0.46554,0.36636
0.34755,0.60946,0.31741,0.33488,0.33649,0.60226,0.32277
