,Puente_Aranda_CO_pmm
1296,0.51777
1297,0.27897
1298,0.3097
1299,0.33843
1300,0.2713
1301,0.65185
1302,0.66714
1303,0.86738
1304,0.86997
1305,0.73776
1306,0.65788
1307,0.40161
1308,0.33601
1309,0.39748
1310,0.37756
1311,0.485
1312,0.33688
1313,0.35586
1314,0.50735
1315,0.76054
1316,1.1804
1317,1.16275
1318,0.84025
1319,0.69237
1320,0.89412
1321,0.67704
1322,0.60607
1323,0.76235
1324,0.5757
1325,0.72074
1326,0.69318
1327,0.78242
1328,0.89407
1329,0.98752
1330,0.62248
1331,0.58545
1332,0.30042
1333,0.21337
1334,0.1878
1335,0.21248
1336,0.21865
1337,0.35172
1338,0.35282
1339,0.39666
1340,0.53161
1341,0.45273
1342,0.4088
1343,0.45387
1344,0.39084
1345,0.62588
1346,0.56954
1347,0.53864
1348,0.60038
1349,1.29926
1350,1.66376
1351,2.12078
1352,1.85057
1353,1.03512
1354,0.40587
1355,0.31846
1356,0.24963
1357,0.22052
1358,0.19484
1359,0.21586
1360,0.36612
1361,0.63239
1362,0.39922
1363,0.43944
1364,0.48205
1365,0.64568
1366,0.4015
1367,0.48331
1368,0.53125
1369,0.47812
1370,0.42398
1371,0.39419
1372,0.85231
1373,1.62954
1374,2.91084
1375,3.07969
1376,2.60703
1377,1.52747
1378,0.82577
1379,0.21996
1380,0.22506
1381,0.24484
1382,0.24559
1383,0.24473
1384,0.308
1385,0.44552
1386,0.4775
1387,0.52517
1388,0.52046
1389,0.46707
1390,0.52595
1391,0.49117
1392,0.41428
1393,0.2314
1394,0.18815
1395,0.26507
1396,0.34333
1397,0.76595
1398,1.84296
1399,2.5998
1400,1.90007
1401,1.04181
1402,0.91729
1403,0.47043
1404,0.30608
1405,0.30369
1406,0.30396
1407,0.26865
1408,0.50152
1409,0.59469
1410,0.69258
1411,0.40351
1412,0.36608
1413,0.38987
1414,0.59992
1415,0.56401
1416,0.66694
1417,0.62353
1418,0.376
1419,0.46347
1420,0.60306
1421,1.00159
1422,1.7743
1423,1.86855
1424,1.91165
1425,0.9551
1426,0.70181
1427,0.3592
1428,0.31695
1429,0.39603
1430,0.49904
1431,0.43276
1432,0.36067
1433,0.60139
1434,0.90845
1435,0.95428
1436,0.88587
1437,0.59299
1438,0.61535
1439,0.87832
1440,0.63332
1441,0.46631
1442,0.30504
1443,0.25881
1444,0.3507
1445,0.61902
1446,0.87375
1447,0.98693
1448,0.69799
1449,0.49186
1450,0.42859
1451,0.37285
1452,0.31724
1453,0.30762
1454,0.51292
1455,0.42854
1456,0.42339
1457,0.57111
1458,0.74425
1459,0.80431
1460,1.0384
1461,1.19664
1462,0.82136
1463,0.52587
1464,0.33178
1465,0.40626
1466,0.41528
1467,0.47588
